epoch,updates,auc,ap,val_auc,val_ap
0,0,0.8233667378546226,0.8634117979907215,0.8231450103180342,0.8557965871418107
1,2048,0.3163173835073667,0.5895155805225031,0.9699731639804212,0.9811576929340613
2,4096,0.3168692801216673,0.5958008177023915,0.9817607425853678,0.9881392112603209
3,6144,0.31132330114689377,0.5929266417677888,0.9767361455718995,0.985403391078768
4,8192,0.26906077523165006,0.5492544819153531,0.9773701754009612,0.9858069918109923
5,10240,0.25063261797243797,0.538755702165281,0.973162553597338,0.9835760341178933
6,12288,0.17296754250582944,0.46155201117739075,0.972075501689109,0.9827586245151047
7,14336,0.15420413413581957,0.4486051173385803,0.9720424956019768,0.9827151529458167
8,16384,0.14973848323704345,0.4457839391664825,0.96963030688198,0.9815948509579504
9,18432,0.17282979456815428,0.4652349426708356,0.9677365996859502,0.9806746210273153
10,20480,0.18505134409952348,0.47409400476645264,0.9688354594389972,0.9814586113003493
