epoch,updates,auc,ap,val_auc,val_ap
0,0,0.9257054846139129,0.9319229827247058,0.8057634988197803,0.8462192231664727
1,2048,0.27669941412685933,0.5616723481761954,0.9899946809697149,0.9937686073560399
2,4096,0.15753744171772785,0.4467493825379888,0.9751016732612044,0.9847583708074558
3,6144,0.11997015285712588,0.4261205409387039,0.9713393850450446,0.9820471977495964
4,8192,0.10737812339327955,0.4149232504438373,0.97293609748084,0.9831211792801342
5,10240,0.11693731934676108,0.4212724665041516,0.9653068427887249,0.9791367686363538
6,12288,0.12327380861774931,0.42882097106718364,0.9600802119044535,0.976135500101043
7,14336,0.12199738089601404,0.4282160655441524,0.9658319792849728,0.9791950800842666
8,16384,0.12658404187247857,0.4329053593319366,0.9653551406351867,0.9788968444157614
9,18432,0.12684243789466434,0.43283384445328354,0.9710789085389865,0.9816506401332119
10,20480,0.1250130354698781,0.4317135089290052,0.9699702632180588,0.9809872003014326
