epoch,updates,auc,ap,val_auc,val_ap
0,0,0.6280705946222399,0.7696053440804494,0.8326868702400555,0.8694331679492106
1,2048,0.2666135484693791,0.5459143411457196,0.9813028394704866,0.9872989145558442
2,4096,0.21536154778458264,0.48271148147073045,0.9694658623365096,0.9815473363119488
3,6144,0.12365129648513792,0.4235079319134499,0.9627493169970321,0.9781523757878239
4,8192,0.11741313873235358,0.4209030884721048,0.9625462703145128,0.9781130173040198
5,10240,0.11359344122568434,0.41577991647410234,0.9649839084615685,0.9792157407751099
6,12288,0.11222719678640893,0.41595776387242267,0.9591397095132895,0.9761740284508154
7,14336,0.11443584813425499,0.4171809146685582,0.9620909484325433,0.9776533741950811
8,16384,0.11229048682584601,0.4145035704587266,0.9619549804117602,0.9776204211179592
9,18432,0.1148017598509873,0.4171813451849479,0.9609186802741124,0.9770375314360322
10,20480,0.11457624237656817,0.41786014155564316,0.959752785008836,0.9766189414870132
