epoch,updates,auc,ap,val_auc,val_ap
0,0,0.6600297694854951,0.7994521066710629,0.8429758172970028,0.8732074254709907
1,2048,0.24212804876887808,0.5289255315600467,0.979086128543017,0.9865407791207264
2,4096,0.2724853112160365,0.5630152787594783,0.9776359956210533,0.9863025396687732
3,6144,0.15284686160801744,0.4497827120359829,0.9732174131705541,0.9836244241727283
4,8192,0.11857500595417525,0.42128547871758687,0.971696898950976,0.9825241353647347
5,10240,0.11312600615500588,0.4195442265920746,0.9682777219742191,0.9807214236358063
6,12288,0.11780816553566421,0.42422768638447506,0.9708659694136974,0.9823571758950856
7,14336,0.11559262700856275,0.4221426962615254,0.9720960839227754,0.9829427365098973
8,16384,0.12173666161391271,0.42863824839057263,0.9724027140236765,0.9832688660076658
9,18432,0.12124514868256718,0.4296062493296913,0.9732214824884934,0.9837047826437935
10,20480,0.12389296256620097,0.43127678213252857,0.9740187425821546,0.9840543743491034
